,Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description,id,search_text
527,"QUARTERLY ESTIMATES OF GDP AT CURRENT PRICES (FOR 2011-12 TO 2023-24), 2011-12 SERIES",NAS,National Accounts Statistics,All India,Quarterly,2023-24,2024-05-31,AEQEAFY2406QTR,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/AEQE/AEQE_as%20on%2031.05.2024/Statement_Quarterly_Current_01.06.2024.xlsx,"National Accounts Division, MoSPI",Quarterly/Advance/Provisional GDP estimates are released through a press note. Estimates of key macro-economic aggregates are given in tables annexed to the press note.,527,quarterly estimates of gdp at current prices for 2011 12 to 2023 24 2011 12 series quarterlyadvanceprovisional gdp estimates are released through a press note estimates of key macro economic aggregates are given in tables annexed to the press note
528,Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto March 2024,IIP,Industrial Statistics,All India,Monthly,Mar 2024,2024-05-10,IIPMFY23094MAR,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2023-24/IndicesIIP2011-12Monthly_annual_mar24_NIC%202d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,528,monthly nic 2 digit and sectoral indices and growth rates of industrial production upto march 2024 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
529,Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto March 2024,IIP,Industrial Statistics,All India,Monthly,Mar 2024,2024-05-10,IIPMFY23093MAR,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2023-24/IndicesIIP2011-12Monthly_annual_mar24_NIC%202d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,529,annual nic 2 digit and sectoral indices and growth rates as per iip % calculated wrt previous year upto march 2024 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
530,Annual indices and growth rates (%) of industrial production as per use-based classification upto March 2024,IIP,Industrial Statistics,All India,Monthly,Mar 2024,2024-05-10,IIPMFY23095MAR,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2023-24/IndicesIIP2011_12Monthly_annual_mar24_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,530,annual indices and growth rates % of industrial production as per use based classification upto march 2024 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
531,Monthly indices and growth rates of industrial production as per use-based classification upto March 2024,IIP,Industrial Statistics,All India,Monthly,Mar 2024,2024-05-10,IIPMFY23096MAR,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2023-24/IndicesIIP2011-12Monthly_annual_mar24_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,531,monthly indices and growth rates of industrial production as per use based classification upto march 2024 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
532,Statement 8.6.1 Part I: Output from Manufacturing in Corporate Sector,NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24048ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter8/8.6.1-1.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",532,statement 861 part i output from manufacturing in corporate sector national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
533,Statement 8.6.2 Part II: Value Added from Manufacturing in Household Sector,NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24051ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter8/8.6.2-2.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",533,statement 862 part ii value added from manufacturing in household sector national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
534,Statement 8.6.1 Part II: Value Added from Manufacturing in Corporate Sector,NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24049ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter8/8.6.1-2.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",534,statement 861 part ii value added from manufacturing in corporate sector national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
535,Statement 8.6.2 Part-I-Output from manufacturing in Household Sector,NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24050ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter8/8.6.2-1.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",535,statement 862 part i output from manufacturing in household sector national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
536,Statement 8.16-Depreciation as provided in book of accounts,NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24063ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter8/8.16.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",536,statement 816 depreciation as provided in book of accounts national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
537,"Statement 8.7-Output & Value Added from electricity, gas, water supply & other utility services",NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24052ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter8/8.7.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",537,statement 87 output value added from electricity gas water supply other utility services national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
538,"Statement 8.15.2-Output, value added, CE, OS/MI, by industry - DE",NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24061ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter8/8.15.2.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",538,statement 8152 output value added ce osmi by industry   de national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
539,Statement 8.4-Output & Value Added from fishing & aquaculture,NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24046ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter8/8.4.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",539,statement 84 output value added from fishing aquaculture national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
540,Statement 8.18.2-Quarterly estimates of GDP-expenditure components,NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24067ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter8/8.18.2.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",540,statement 8182 quarterly estimates of gdp expenditure components national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
541,Statement 8.18.1-Quarterly estimates of GVA by economic activity,NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24066ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter8/8.18.1.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",541,statement 8181 quarterly estimates of gva by economic activity national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
542,"Statement 8.17.2-Provisional Estimates of Gross Value Added by Economic Activity at Basic Prices, 2023-24",NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24065ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter8/8.17.2.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",542,statement 8172 provisional estimates of gross value added by economic activity at basic prices 2023 24 national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
543,"Statement 8.17.1-Provisional Estimates of National Income and other aggregates, 2023-24",NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24064ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter8/8.17.1.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",543,statement 8171 provisional estimates of national income and other aggregates 2023 24 national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
544,"Statement 8.15.3-Output, value added, CE, OS/MI, by industry - NDE",NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24062ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter8/8.15.3.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",544,statement 8153 output value added ce osmi by industry   nde national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
545,"Statement 8.15.1-Output, value added, CE, OS/MI, by industry - General Government",NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24060ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter8/8.15.1.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",545,statement 8151 output value added ce osmi by industry   general government national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
546,Statement 8.8-Output & Value Added from construction,NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24053ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter8/8.8.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",546,statement 88 output value added from construction national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
547,Statement 8.14-Output & Value Added from other services,NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24059ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter8/8.14.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",547,statement 814 output value added from other services national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
548,"Statement 8.13-Output & Value Added from real estate, ownership of dwelling & professional services",NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24058ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter8/8.13.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",548,statement 813 output value added from real estate ownership of dwelling professional services national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
549,Statement 8.12-Value Added from financial services,NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24057ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter8/8.12.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",549,statement 812 value added from financial services national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
550,"Statement 8.11-Output & Value Added from storage, communication & services related to broadcasting",NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24056ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter8/8.11.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",550,statement 811 output value added from storage communication services related to broadcasting national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
551,Statement 8.10-Output & Value Added from transport services,NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24055ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter8/8.10.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",551,statement 810 output value added from transport services national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
552,"Statement 8.9-Outputs and Value Added from trade, repair services, hotels & restaurants",NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24054ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter8/8.9.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",552,statement 89 outputs and value added from trade repair services hotels restaurants national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
553,Statement 8.5-Output & Value Added from mining & quarrying,NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24047ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter8/8.5.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",553,statement 85 output value added from mining quarrying national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
554,Statement 8.1.2-Crop-wise value of output,NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24043ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter8/8.1.2.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",554,statement 812 crop wise value of output national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
555,Statement 1.4-Price and Quantum Indices,NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24004ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter1/1.4.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",555,statement 14 price and quantum indices national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
556,Statement 1.6-Gross Value Added by economic activity at current and constant prices,NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24006ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter1/1.6.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",556,statement 16 gross value added by economic activity at current and constant prices national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
557,Statement 1.5-Output by Economic activity and Capital formation by Industry of use at current and constant prices,NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24005ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter1/1.5.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",557,statement 15 output by economic activity and capital formation by industry of use at current and constant prices national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
558,Statement 6.2-Selected aggregates of external transactions at constant (2011-12) prices,NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24025ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter6/6.2.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",558,statement 62 selected aggregates of external transactions at constant 2011 12 prices national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
559,Statement 6.1-Detailed external transactions accounts,NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24024ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter6/6.1.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",559,statement 61 detailed external transactions accounts national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
560,Statement 5.3-Financial assets and liabilities of the household sector,NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24023ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter5/5.3.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",560,statement 53 financial assets and liabilities of the household sector national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
561,Statement 5.2-Individual consumption expenditure by households and general government,NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24022ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter5/5.2.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",561,statement 52 individual consumption expenditure by households and general government national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
562,Statement 5.1-Private final consumption expenditure classified by item,NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24021ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter5/5.1.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",562,statement 51 private final consumption expenditure classified by item national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
563,"Statement 4.2-Expenditure of General Government classified by function, COFOG for 2022-23 FRE",NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24020ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter4/4.2_2022-23_FRE.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",563,statement 42 expenditure of general government classified by function cofog for 2022 23 fre national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
564,"Statement 4.2-Expenditure of General Government classified by function, COFOG for 2021-22 SRE",NAS,National Accounts Statistics,All India,Annual,2022-23,2024-05-06,NASAFY24019ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2024/Chapter4/4.2_2021-22_SRE.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication.",564,statement 42 expenditure of general government classified by function cofog for 2021 22 sre national accounts statistics nas publication of ministry of statistics and programme implementation contains time series information on various macro economic aggregates including gdp gva pfce gfce gcf etc besides sequence of accounts for institutional sectors are also published in nas publication
